title,petitionId,signatureCount,signaturesNeeded,signatureProgress,url,created,deadline,description,isSignable,isPublic
"Support Elio Motor's ATVM loan application.","54c50ab6adfd95c17a000001",780,99220,0.7861318282604314,"https://petitions.whitehouse.gov/petition/support-elio-motors-atvm-loan-application/f3Z4sM1L",2015-01-25T15:34:42.000Z,2015-02-24T15:34:42.000Z,,true,true
"Take legal action against Speaker John Boehner for his violation of the Logan Act.","54c23b8e688938310b000000",655,99345,0.6593185364135085,"https://petitions.whitehouse.gov/petition/take-legal-action-against-speaker-john-boehner-his-violation-logan-act/lQQ86bS0",2015-01-23T12:19:09.000Z,2015-02-22T12:19:09.000Z,,true,true
"Provide healthcare workers with the same legal protection against threats of violence as for federal employees.","54c070ddadfd95bf7b000000",313,99687,0.3139827660577608,"https://petitions.whitehouse.gov/petition/provide-healthcare-workers-same-legal-protection-against-threats-violence-federal-employees/bD7f2x7j",2015-01-22T05:03:11.000Z,2015-02-21T05:03:11.000Z,,true,true
"Eradicate any existing Islamic Jihadist Training Camps within the United States.","54bde099a9a0b1aa0f000000",244,99756,0.2445968162316051,"https://petitions.whitehouse.gov/petition/eradicate-any-existing-islamic-jihadist-training-camps-within-united-states/CPnpCw21",2015-01-20T05:07:44.000Z,2015-02-19T05:07:44.000Z,,true,true
"Freedom is one of the greatest assets within our country and MEDICAL freedom must be included in this asset.","54b9e8d7688938eb5c000001",1773,98227,1.805002697832572,"https://petitions.whitehouse.gov/petition/freedom-one-greatest-assets-within-our-country-and-medical-freedom-must-be-included-asset/QLrvJjkj",2015-01-17T04:51:07.000Z,2015-02-16T04:51:07.000Z,,true,true
"Define Marriage as One Man and One Woman","54b7c3f0688938bf31000001",524,99476,0.5267602235715148,"https://petitions.whitehouse.gov/petition/define-marriage-one-man-and-one-woman/1PKHGRh9",2015-01-16T16:34:58.000Z,2015-02-15T16:34:58.000Z,,true,true
"Support legislation providing for fair taxation of mutual funds","54b5f1bbee140f5f2d000001",1442,98558,1.463097871304207,"https://petitions.whitehouse.gov/petition/support-legislation-providing-fair-taxation-mutual-funds/nFrHPJWT",2015-01-16T05:18:47.000Z,2015-02-15T05:18:47.000Z,,true,true
"Remove Ted Cruz from position for NASA oversight of the Subcommittee on Space, Science and Competitiveness","54b43627ee140f0978000001",36687,63313,57.94544564307488,"https://petitions.whitehouse.gov/petition/remove-ted-cruz-position-nasa-oversight-subcommittee-space-science-and-competitiveness/0hj7fRCY",2015-01-12T21:12:19.000Z,2015-02-11T21:12:19.000Z,,true,true
"Stop the Open Burn of 15 million pounds of M6 propellant at Camp Minden, Louisiana.  Protect public health &amp; safety!","54b153a8a9a0b1d232000001",1304,98696,1.321228823863176,"https://petitions.whitehouse.gov/petition/stop-open-burn-15-million-pounds-m6-propellant-camp-minden-louisiana-protect-public-health-safety/BwnVBDQt",2015-01-10T16:58:25.000Z,2015-02-09T16:58:25.000Z,,true,true
"Declare Oct 21 National Back to the Future  
Day","54abecf5688938d554000000",6614,93386,7.08243205619686,"https://petitions.whitehouse.gov/petition/declare-oct-21-national-back-future-day/SrjDnZ6H",2015-01-06T14:13:50.000Z,2015-02-05T14:13:50.000Z,,true,true
"Remove the Whole Cannabis Plant from Schedule 1 for Medical Research &amp; Patient Access","54aa63c8adfd95240a000001",7217,92783,7.778364571095999,"https://petitions.whitehouse.gov/petition/remove-whole-cannabis-plant-schedule-1-medical-research-patient-access/vjzmSRS3",2015-01-05T10:50:31.000Z,2015-02-04T10:50:31.000Z,,true,true
"We urge our President to request India's Prime Minister to preserve and promote the religious freedom of minorities.","54a8b0c100e579f671000000",14744,85256,17.29379750398799,"https://petitions.whitehouse.gov/petition/we-urge-our-president-request-indias-prime-minister-preserve-and-promote-religious-freedom/4TmrHVcH",2015-01-04T03:19:48.000Z,2015-02-03T03:19:48.000Z,,true,true
"grant a presidential pardon to U.S. Army Lieutenant Clint Lorance in Leavenworth prison","54a6806e7043018304000001",105633,0,100,"https://petitions.whitehouse.gov/petition/grant-presidential-pardon-us-army-lieutenant-clint-lorance-leavenworth-prison/bc3MtBPM",2015-01-02T11:37:29.000Z,2015-02-01T11:37:29.000Z,,true,true
"pursue legislation to ban harmful ""conversion therapy"" nationwide.","54a401f62bcfa31b13000000",363,99637,0.364322490641027,"https://petitions.whitehouse.gov/petition/pursue-legislation-ban-harmful-conversion-therapy-nationwide/zyHwZt6c",2014-12-31T14:30:18.000Z,2015-01-30T14:30:18.000Z,,true,true
"Create federal ""Pants Up, Don't Loot"" task force","54a2f5016ce61c3a2a000000",210,99790,0.2104419280489027,"https://petitions.whitehouse.gov/petition/create-federal-pants-dont-loot-task-force/1DVQtSqf",2015-01-01T05:19:34.000Z,2015-01-31T05:19:34.000Z,,true,true
"direct the Secretary of the Navy to create and retroactively award a ribbon for Marine Corps Security Forces.","549f961fadfd956a55000000",231,99769,0.231534845493089,"https://petitions.whitehouse.gov/petition/direct-secretary-navy-create-and-retroactively-award-ribbon-marine-corps-security-forces/fLlvH3QT",2014-12-28T06:07:06.000Z,2015-01-27T06:07:06.000Z,,false,true
"Save the life of an innocent dog named Beau in Dyersburg, Tennessee from illegally being euthanized","549d372e688938105a000001",12141,87859,13.81873228695979,"https://petitions.whitehouse.gov/petition/save-life-innocent-dog-named-beau-dyersburg-tennessee-illegally-being-euthanized/qmf1WGKb",2014-12-26T11:01:37.000Z,2015-01-25T11:01:37.000Z,,false,true
"Remove the Carcinogenic and Toxic Tire Mulch from the White House Playground &amp; Replace with Wood Chips or Wood Mulch.","54989b79a9a0b16b32000000",414,99586,0.4157210852931135,"https://petitions.whitehouse.gov/petition/remove-carcinogenic-and-toxic-tire-mulch-white-house-playground-replace-wood-chips-or-wood-mulch/5tp4vgrw",2014-12-23T05:54:17.000Z,2015-01-22T05:54:17.000Z,,false,true
